cust_id,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,_corrupt_record,city,cust_age,cust_id,date_created,date_updated,email,first_name,gender,income,last_name,phone_number,postal,state
cust_1,768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,,Rockville,22.0,cust_1,9/4/2021,9/4/2021,dfairy0@posterous.com,Delora,Female,39623.0,Fairy,+1 240 843 7077,20851,Maryland
cust_2,818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,,Dallas,35.0,cust_2,12/16/2021,12/16/2021,estranahan1@usgs.gov,Elsey,Female,48773.0,Stranahan,+1 214 800 1903,75265,Texas
cust_3,713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,,San Luis Obispo,29.0,cust_3,2/9/2021,2/9/2021,lwhimpenny2@sakura.ne.jp,Lonny,Male,47427.0,Whimpenny,+1 805 762 6841,93407,California
cust_4,769911858,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,,Abilene,61.0,cust_4,1/24/2020,1/24/2020,mbailie3@newyorker.com,Merrick,Female,19936.0,Bailie,+1 325 902 8466,79605,Texas
cust_5,709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,,Washington,39.0,cust_5,11/22/2020,11/22/2020,dfurlow4@goo.ne.jp,Dorie,Female,36925.0,Furlow,+1 202 193 3923,20036,District of Columbia
cust_6,713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,,South Bend,44.0,cust_6,12/2/2020,12/2/2020,sleathem5@auda.org.au,Saunders,Female,42360.0,Leathem,+1 574 177 1833,46634,Indiana
cust_7,810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,,San Jose,41.0,cust_7,9/10/2021,9/10/2021,lgather6@ehow.com,Larry,Female,35643.0,Gather,+1 408 660 0906,95133,California
cust_8,818906208,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,,Houston,17.0,cust_8,3/16/2020,3/16/2020,bjacquot7@cdc.gov,Bartolemo,Male,33699.0,Jacquot,+1 713 814 8896,77075,Texas
cust_9,710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,,Provo,25.0,cust_9,2/7/2022,2/7/2022,vtie8@vimeo.com,Vassily,Female,37259.0,Tie,+1 801 506 3639,84605,Utah
cust_10,719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,"{'cust_id': None, 'first_name': 'Romonda', 'last_name': 'Bengtson', 'email': 'rbengtson9@usa.gov', 'gender': 'Female', 'city': 'Denver', 'state': 'Colorado', 'postal': '80279', 'phone_number': '+1 303 647 1301', 'income': 33514, 'date_created': '2/12/2020', 'date_updated': '2/12/2020', 'cust_age': 36}",,,,,,,,,,,,,
cust_11,708790833,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,,Dearborn,33.0,cust_11,12/29/2020,12/29/2020,rdahlboma@craigslist.org,Roth,Male,37306.0,Dahlbom,+1 313 417 5548,48126,Michigan
cust_12,710821833,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,,Washington,39.0,cust_12,10/15/2021,10/15/2021,driehmb@hubpages.com,Der,Male,62851.0,Riehm,+1 202 893 9672,20051,District of Columbia
cust_13,710599683,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,,Amarillo,42.0,cust_13,10/23/2021,10/23/2021,ccopasc@a8.net,Corly,Male,47198.0,Copas,+1 806 396 3229,79188,Texas
cust_14,816082233,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,,Jacksonville,37.0,cust_14,2/16/2020,2/16/2020,vleijsd@nyu.edu,Vincent,Female,46075.0,Leijs,+1 904 300 1020,32204,Florida
cust_15,712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,,Dallas,29.0,cust_15,8/13/2021,8/13/2021,npashene@google.pl,Nelie,Female,12558.0,Pashen,+1 214 878 4209,75372,Texas
cust_16,714885258,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,,Fort Lauderdale,34.0,cust_16,9/25/2020,9/25/2020,jbernardezf@i2i.jp,Jerry,Female,40023.0,Bernardez,+1 954 103 1843,33315,Florida
cust_17,709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,,Sioux Falls,24.0,cust_17,3/10/2020,3/10/2020,hrheamg@dyndns.org,Howie,Male,31612.0,Rheam,+1 605 733 4616,57198,South Dakota
cust_18,753327333,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,,Washington,40.0,cust_18,9/26/2021,9/26/2021,thaddlestonh@theguardian.com,Tyson,Female,41269.0,Haddleston,+1 202 664 2350,20078,District of Columbia
cust_19,806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,,Minneapolis,32.0,cust_19,5/30/2021,5/30/2021,vfilchagini@cafepress.com,Vincents,Male,19664.0,Filchagin,+1 612 397 1403,55402,Minnesota
cust_20,709327383,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,,Indianapolis,46.0,cust_20,3/18/2021,3/18/2021,dmullisj@diigo.com,Deanne,Female,47891.0,Mullis,+1 317 559 7358,46231,Indiana
cust_21,806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,,Salem,12.0,cust_21,6/17/2020,6/17/2020,pdalgardnok@reverbnation.com,Pearline,Male,56275.0,Dalgardno,+1 971 864 6103,97312,Oregon
cust_22,708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,,Anniston,41.0,cust_22,4/22/2020,4/22/2020,kburkhilll@google.nl,Kerwinn,Female,49679.0,Burkhill,+1 256 134 3973,36205,Alabama
cust_23,784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,,West Palm Beach,34.0,cust_23,11/27/2021,11/27/2021,jsidneym@photobucket.com,Joel,Male,35535.0,Sidney,+1 561 846 2429,33421,Florida
cust_24,811604133,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,,New York City,36.0,cust_24,6/7/2021,6/7/2021,grubenfeldn@guardian.co.uk,Gloriana,Male,13209.0,Rubenfeld,+1 646 201 7816,10024,New York
cust_25,789124683,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,,Des Moines,36.0,cust_25,1/15/2022,1/15/2022,mmilsteado@jigsy.com,Maia,Male,47877.0,Milstead,+1 515 228 9454,50315,Iowa
cust_26,771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,,Philadelphia,37.0,cust_26,1/22/2020,1/22/2020,gjefferysp@lulu.com,Gabey,Male,39912.0,Jefferys,+1 610 974 4595,19151,Pennsylvania
cust_27,720466383,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,,Jackson,32.0,cust_27,1/30/2021,1/30/2021,zextallq@jigsy.com,Zed,Male,26219.0,Extall,+1 731 397 5687,38308,Tennessee
cust_28,804424383,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,,Baltimore,54.0,cust_28,8/12/2020,8/12/2020,kliddler@ibm.com,Kalina,Female,44680.0,Liddle,+1 410 289 9307,21275,Maryland
cust_29,718813833,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,,Topeka,29.0,cust_29,1/9/2021,1/9/2021,callums@aboutads.info,Cesaro,Male,51938.0,Allum,+1 785 692 2582,66606,Kansas
cust_30,806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,,Salt Lake City,45.0,cust_30,6/19/2021,6/19/2021,creamet@china.com.cn,Carrissa,Male,58207.0,Reame,+1 801 657 8297,84199,Utah
cust_31,778348233,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,,Sarasota,33.0,cust_31,12/20/2020,12/20/2020,scrassu@washington.edu,Sydelle,Male,32807.0,Crass,+1 941 325 1911,34233,Florida
cust_32,712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,,Cleveland,53.0,cust_32,1/28/2021,1/28/2021,bspinov@netlog.com,Bartram,Female,40595.0,Spino,+1 216 895 6207,44125,Ohio
cust_33,709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,,Simi Valley,41.0,cust_33,12/11/2021,12/11/2021,bruselinw@about.me,Barnabas,Male,32717.0,Ruselin,+1 805 248 5456,93094,California
cust_34,788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,,New Haven,41.0,cust_34,3/19/2020,3/19/2020,speepallx@desdev.cn,Shari,Male,41589.0,Peepall,+1 203 788 4907,06520,Connecticut
cust_35,787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,,Melbourne,25.0,cust_35,5/22/2020,5/22/2020,gmccloyy@free.fr,Granthem,Male,43102.0,McCloy,+1 321 275 3790,32919,Florida
cust_36,715318008,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,,Los Angeles,37.0,cust_36,12/31/2020,12/31/2020,gbotlerz@stumbleupon.com,Giustino,Female,49533.0,Botler,+1 323 554 0597,90005,California
cust_37,713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,,Santa Fe,18.0,cust_37,3/3/2021,3/3/2021,sreignolds10@amazon.de,Shauna,Male,50244.0,Reignolds,+1 505 859 2822,87592,New Mexico
cust_38,785432733,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0,,Salt Lake City,22.0,cust_38,4/27/2020,4/27/2020,tscoone11@csmonitor.com,Terra,Female,36540.0,Scoone,+1 801 825 9994,84140,Utah
cust_39,715190283,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.241,,Jersey City,20.0,cust_39,11/19/2020,11/19/2020,rbrickett12@prweb.com,Rivi,Female,28828.0,Brickett,+1 201 577 2064,07305,New Jersey
cust_40,708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077,,Omaha,30.0,cust_40,3/12/2021,3/12/2021,dgaroghan13@accuweather.com,Dona,Male,46590.0,Garoghan,+1 402 713 1162,68144,Nebraska
cust_41,827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018,,Baton Rouge,27.0,cust_41,5/31/2020,5/31/2020,ctodhunter14@ning.com,Cairistiona,Female,37702.0,Todhunter,+1 225 700 4631,70826,Louisiana
cust_42,758551608,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355,,Schenectady,46.0,cust_42,2/12/2021,2/12/2021,fridwood15@behance.net,Fabiano,Female,57340.0,Ridwood,+1 518 192 0833,12325,New York
cust_43,773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,,York,16.0,cust_43,12/28/2021,12/28/2021,mwands16@princeton.edu,Montague,Female,38971.0,Wands,+1 717 985 0237,17405,Pennsylvania
cust_44,778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,,Trenton,44.0,cust_44,10/25/2021,10/25/2021,lwinley17@tuttocitta.it,Lyndsay,Female,42185.0,Winley,+1 609 570 4953,08638,New Jersey
cust_45,720572508,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,,Inglewood,30.0,cust_45,4/26/2021,4/26/2021,omaddison18@sina.com.cn,Othilie,Female,32844.0,Maddison,+1 323 114 8172,90305,California
cust_46,712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333,0.0,,Los Angeles,17.0,cust_46,7/21/2020,7/21/2020,bvanin19@sciencedaily.com,Bernadine,Male,31557.0,Vanin,+1 626 521 0735,90015,California
cust_47,789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,,Oklahoma City,33.0,cust_47,4/13/2021,4/13/2021,ksouthcomb1a@posterous.com,Katrine,Female,49735.0,Southcomb,+1 405 975 8956,73167,Oklahoma
cust_48,738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,0.793,,Lexington,44.0,cust_48,5/28/2021,5/28/2021,jgosford1b@telegraph.co.uk,Janaye,Male,38523.0,Gosford,+1 859 524 8250,40505,Kentucky
cust_49,799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.074,,Sacramento,25.0,cust_49,10/6/2021,10/6/2021,csawell1c@mashable.com,Cristobal,Female,45410.0,Sawell,+1 916 914 8355,94257,California
cust_50,771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,,Arlington,38.0,cust_50,3/6/2022,3/6/2022,wstelfox1d@ucoz.ru,Wilhelmine,Male,52321.0,Stelfox,+1 817 629 4584,76096,Texas
cust_51,720756708,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,,San Jose,26.0,cust_51,9/2/2021,9/2/2021,cmityashin1e@comsenz.com,Conrad,Female,32743.0,Mityashin,+1 408 107 9580,95118,California
cust_52,779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,,Helena,37.0,cust_52,12/4/2020,12/4/2020,tfibbens1f@networksolutions.com,Timoteo,Female,45225.0,Fibbens,+1 406 686 8155,59623,Montana
cust_53,711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,,Charleston,34.0,cust_53,2/8/2020,2/8/2020,gdewitt1g@wired.com,Galvin,Male,41217.0,De Witt,+1 304 778 2194,25305,West Virginia
cust_54,712813458,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,,Saint Paul,46.0,cust_54,9/9/2021,9/9/2021,bvaneev1h@omniture.com,Brianna,Female,40986.0,Vaneev,+1 651 794 0657,55172,Minnesota
cust_55,714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,,Austin,32.0,cust_55,9/1/2020,9/1/2020,vwhaplington1i@howstuffworks.com,Vail,Male,31942.0,Whaplington,+1 512 821 0067,78789,Texas
cust_56,717891558,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667,,Schenectady,36.0,cust_56,2/18/2021,2/18/2021,mrymill1j@accuweather.com,Marina,Male,42021.0,Rymill,+1 518 252 0150,12325,New York
cust_57,716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,,Milwaukee,39.0,cust_57,9/3/2021,9/3/2021,kstuffins1k@economist.com,Keefe,Female,33280.0,Stuffins,+1 414 195 5384,53210,Wisconsin
cust_58,768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417,0.422,,El Paso,19.0,cust_58,9/17/2021,9/17/2021,rpruvost1l@nydailynews.com,Rebe,Female,34798.0,Pruvost,+1 915 851 8214,79911,Texas
cust_59,711427458,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,,Ashburn,26.0,cust_59,11/28/2021,11/28/2021,akilminster1m@gizmodo.com,Andra,Female,50894.0,Kilminster,+1 571 658 6905,22093,Virginia
cust_60,714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,,Wichita,42.0,cust_60,3/17/2020,3/17/2020,jcamell1n@walmart.com,Jilly,Female,46104.0,Camell,+1 316 894 0727,67205,Kansas
cust_61,787584108,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587,,Charlotte,43.0,cust_61,12/6/2021,12/6/2021,csalter1o@msu.edu,Clarance,Female,35221.0,Salter,+1 704 618 6241,28284,North Carolina
cust_62,712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0,,Boston,27.0,cust_62,3/23/2022,3/23/2022,cdoggart1p@gov.uk,Concordia,Female,40128.0,Doggart,+1 617 564 4189,02283,Massachusetts
cust_63,711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211,,Topeka,37.0,cust_63,3/26/2020,3/26/2020,oloader1q@sciencedaily.com,Orazio,Male,37103.0,Loader,+1 785 693 3074,66642,Kansas
